,关键词,作者,正文,时间,内容源
10,黑臭,福州发布,#漫步福州##福州城建#【福州迈入“后治水时代”　久久为功做好养护功课】从挖河道、埋管道的持续治水，到如今盯屏幕、看数据的长久护水，走过3年多时间的福州水系治理，已有99条主干河道与33条支流完成治理，44条黑臭水体已全部消除黑臭。随着晋安东区、新店、金山、鼓台等多个片区的水系治理项目包转入正式运营，“后治水时代”的福州，正全力做好治理水平提升功课，让河流水清河畅，更具品质。O福州迈入“后治水时代”　久久为功做好养护功课,2020-10-21,微博
11,黑臭,福州发布,#漫步福州##福州城建#【水清岸绿、出门见园、行路见荫，有福之州靓起来！】福州秋天的美好，躲在一条条蜿蜒流转的碧水畔，还藏在城内城外满眼的浓绿中。水边的幸福生活，得益于“十三五”期间福州开展的有史以来规模最大的城区内河综合整治工程。1000多个日夜坚持不懈，44条黑臭水体全部消除黑臭，99条主干河道、33条支流完成治理，群众满意率均在90%以上。2018年11月，福州获评首批全国黑臭水体治理示范城市。“十三五”期间，福州相继开展“全民动员绿化福州”“绿进万家绿满榕城”等行动，五年来，绿色逐渐成为福州底色。截至去年底，城市园林绿地比2015年底增加1426公顷；人均公园绿地面积15.33平方米；绿化覆盖率达45.39%；建成区绿地率达42.22%，位居省内九设区市首位。O水清岸绿、出门见园、行路见荫，有福之州靓起来！,2020-10-15,微博
12,黑臭,福州国资,【提升改造引入活水泮洋河更显水清河畅】泮洋河曾是断头河，河水流动不畅，日积月累成为了名副其实的“臭水沟”，经过2017年的内河改造建设，面貌焕然一新，摆脱了黑臭河道的“污名”。而此次泮洋河（六一路以西段）河道断面改造工程是在原有清淤、截污施工后的再次提升，将琼东河-六一路之间的泮洋河河床进行改造，让上游东西河、琼东河河水更充分、更顺畅地补入泮洋河，引入活水真正做到“水多、水畅、水动”。该项目由福州市水环境建设开发有限公司作为业主，福州市水务工程有限责任公司负责施工，工期60天，从2020年5月底开始进场施工，施工前各参建单位做好了充分的准备，对河道（六一路以西段）580米长的河道开展日夜攻坚工作。经多方努力，该工程于2020年8月完工并拆除围堰，恢复河道通水，河道流速加大，实现了“河水清澈、波光粼粼、绿树映碧波”的优美景观，也为我市今年第三季度省环保检测河道水质打下良好基础。,2020-09-21,微博
13,黑臭,福州晚报,#有福之州文明同行#【从“黑臭”变“多彩”福州内河蝶变记】福州水网密布，274公里的绵延水脉串起了福州城。治水，关乎城市形象，更关乎民生福祉。2016年下半年，一场持续“一千零一夜”的城区水系综合治理攻坚战全面打响。水系治理带走了脏臭污水，带来了一条条滨河绿道。O福州内河治理：从“黑臭”变“多彩”,2020-09-02,微博
14,黑臭,福州生态环境,#福州环保一线##福州绿色生活#【#福州#内河治理：从“黑臭”变“多彩”】福州水网密布，274公里的绵延水脉串起了福州城。治水，关乎城市形象，更关乎民生福祉。2016年下半年，一场持续“一千零一夜”的城区水系综合治理攻坚战全面打响。　　治标治本双管齐下。治标，通过沿河截污、内河清淤，让水清起来；治本，通过管网清疏、修建闸泵，把水引进来，让水多起来、动起来。在“系统、综合、生态、全面”的方法指引下，立体攻坚展开了。　　“一盘棋”治理，加上“清单式”项目管理、“卷地毯式”集中攻坚、“标准化”质量管控，水系治理带走了脏臭污水，带来了一条条滨河绿道。　　以民生为本，按照“水清、河畅、岸绿、景美”的理念，超500公里绿道与水为伴绵延不绝，270个滨河串珠公园在河道旁扎根，四季各有风景，它们组成了一条条风景秀丽的绿带，成为周边居民的休闲港湾。O福州内河治理：从“黑臭”变“多彩”,2020-09-02,微博
15,黑臭,福州电视台移动频道,【福州城区2座地下处理站日“吞”万吨污水】#全力打造幸福之城#系统收集沿河污水，是内河告别黑臭的关键。此番治水，福州除了在各水系沿线铺设截污管的“常规打法”，更有因地制宜的“创新打法”——把污水处理厂“搬”到内河边。据悉，城区2座地下污水处理站已建成，每日能处理梅峰河、金港河沿线收集的万余吨污水。（Via@福州日报）,2020-08-06,微博
16,黑臭,福州日报,福州新闻【福州城区2座地下处理站日“吞”万吨污水】#全力打造幸福之城#系统收集沿河污水，是内河告别黑臭的关键。此番治水，福州除了在各水系沿线铺设截污管的“常规打法”，更有因地制宜的“创新打法”——把污水处理厂“搬”到内河边。据悉，城区2座地下污水处理站已建成，每日能处理梅峰河、金港河沿线收集的万余吨污水。O福州城区2座地下处理站日“吞”万吨污水,2020-08-06,微博
17,黑臭,福州新闻网fznews,福州新闻【福州城区2座地下处理站日“吞”万吨污水】系统收集沿河污水，是内河告别黑臭的关键。此番治水，福州除了在各水系沿线铺设截污管的“常规打法”，更有因地制宜的“创新打法”——把污水处理厂“搬”到内河边。记者5日从福州市水务集团获悉，城区2座地下污水处理站已建成，每日能处理梅峰河、金港河沿线收集的万余吨污水。污水处理站的首要任务，就是要截住内河沿线污水，这2座设在地下的污水处理站，有不同的除污本领。一起看看→O福州城区2座地下处理站日“吞”万吨污水,2020-08-06,微博
18,黑臭,福州建设发展,【福州城区2座地下处理站日“吞”万吨污水】系统收集沿河污水，是内河告别黑臭的关键。此番治水，福州除了在各水系沿线铺设截污管的“常规打法”，更有因地制宜的“创新打法”—把污水处理厂“搬”到内河边。城区2座地下污水处理站已建成，每日能处理梅峰河、金港河沿线收集的万余吨污水。,2020-08-06,微博
19,黑臭,用户09cv5nx9aw福建叶知秋,福州洪山桥旧桥墩（北侧）每天污水未经处理直排闽江，造成附近河水变黑变臭。L用户09cv5nx9aw福建叶知秋的微博视频,2020-05-08,微博
20,黑臭,福州晚报,【新厝河完成治理转入运营600米河道两岸镶嵌4个串珠公园】记者昨日从市城乡建设局获悉，目前，部分内河在完成治理、验收和复核工作后，陆续转入运营，曾经的黑臭河道新厝河就是其中之一。来源：福州晚报链接：O600米河道两岸镶嵌4个串珠公园,2020-05-04,微博
21,黑臭,福建身边事,【福州51条主干河道建成开放运维管养持续推进】从令人掩鼻的黑臭河道，到景色宜人的生态走廊，梅峰河经过治理实现了“脱胎换骨”的改变；从满眼水葫芦的“水沟”，到人气颇旺的“网红”打卡点，流花溪成了福州水系治理的闪亮名片……自2016年以来，市水务投资发展有限公司（下简称市水务公司）围绕市委、市政府确定的七大治水理念，贯彻河道治理及周边环境提升“9+5”策略，展开治水攻坚。昨日，记者获悉，截至2019年底，市水务公司负责的51条主干河道均已建成开放。O网页链接,2020-01-20,微博
22,黑臭,福州新闻网fznews,福州新闻【福州51条主干河道建成开放　运维管养持续推进】#全力打造幸福之城#从令人掩鼻的黑臭河道，到景色宜人的生态走廊，梅峰河经过治理实现了“脱胎换骨”的改变；从满眼水葫芦的“水沟”，到人气颇旺的“网红”打卡点，流花溪成了福州水系治理的闪亮名片……自2016年以来，市水务投资发展有限公司围绕市委、市政府确定的七大治水理念，贯彻河道治理及周边环境提升“9+5”策略，展开治水攻坚。据悉，截至2019年底，市水务公司负责的51条主干河道均已建成开放。O福州51条主干河道建成开放　运维管养持续推进,2020-01-20,微博
23,黑臭,福州房天下,【福州51条主干河道建成开放　运维管养持续推进】从令人掩鼻的黑臭河道，到景色宜人的生态走廊，梅峰河经过治理实现了“脱胎换骨”的改变；从满眼水葫芦的“水沟”，到人气颇旺的“网红”打卡点，流花溪成了福州水系治理的闪亮名片……自2016年以来，市水务投资发展有限公司（下简称市水务公司）围绕市委、市政府确定的七大治水理念，贯彻河道治理及周边环境提升“9+5”策略，展开治水攻坚。昨日获悉，截至2019年底，市水务公司负责的51条主干河道均已建成开放。（via福州日报）,2020-01-20,微博
24,黑臭,福州日报,福州新闻【截至2019年底福州51条主干河道建成开放】#全力打造幸福之城#从令人掩鼻的黑臭河道，到景色宜人的生态走廊，梅峰河经过治理实现了“脱胎换骨”的改变；从满眼水葫芦的“水沟”，到人气颇旺的“网红”打卡点，流花溪成了福州水系治理的闪亮名片……自2016年以来，市水务投资发展有限公司围绕市委、市政府确定的七大治水理念，贯彻河道治理及周边环境提升“9+5”策略，展开治水攻坚。截至2019年底，市水务公司负责的51条主干河道均已建成开放。O截至2019年底福州51条主干河道建成开放,2020-01-20,微博
25,黑臭,福州新闻网fznews,#2020福州两会#【政府工作报告指出：城区99条主干河道、23条支流黑臭水体治理基本完成】尤猛军说：2019年，旗山湖、晋安湖全面开挖，晋安河直排闽江通道建成投用，修复排水管网1130公里，城区内涝治理初见成效。新建永久截污管道60公里、雨污水管网472公里，清除内河淤泥39万立方米，城区99条主干河道、23条支流黑臭水体治理基本完成。全市造林绿化6.6万亩，中心城区新种乔木7万株，提升林荫大道62条，新建串珠公园102个、滨河绿道100.8公里，完成拆墙透绿535处、边角地绿化238处，“绿进万家、绿满榕城”专项行动有效展开。直播地址：O网页链接,2020-01-05,微博
26,黑臭,福州日报,#2020福州两会#【政府工作报告指出：2019年城区99条主干河道、23条支流黑臭水体治理基本完成】尤猛军说：2019年，旗山湖、晋安湖全面开挖，晋安河直排闽江通道建成投用，修复排水管网1130公里，城区内涝治理初见成效。新建永久截污管道60公里、雨污水管网472公里，清除内河淤泥39万立方米，城区99条主干河道、23条支流黑臭水体治理基本完成。全市造林绿化6.6万亩，中心城区新种乔木7万株，提升林荫大道62条，新建串珠公园102个、滨河绿道100.8公里，完成拆墙透绿535处、边角地绿化238处，“绿进万家、绿满榕城”专项行动有效展开。直播地址：O网页链接,2020-01-05,微博
27,黑臭,福州晚报,【出门就是画！城区水网首批八处“网红打卡点”公布】伴随着内河治理，福州城区水网实现了水清、河畅、岸绿、景美，更多地方甚至成为新晋“网红打卡点”。昨日，市城乡建设局公布首批八处“网红打卡点”，在此之前，它们所依托的内河都曾是中央环保督察组“点名”的黑臭水体。（福州晚报）O出门就是画！福州内河网红打卡点，美翻了！,2019-12-27,微博
28,黑臭,福建台新闻频道,#晒晒咱身边的新变化#【市民点赞！内河治理有成效！】福州的内河，这几年变化还是非常大的，从原来的脏黑臭，变成了现在两岸绿树红花，河里干净见鱼的情景。但是总有一些不文明的人破坏这样的美好，比方说在内河里网鱼，或是向内河里丢垃圾、排污水等。不过这样的不文明有了新的办法管制，那就是罚款。（记者：林叮咚郑寅）L福建台新闻频道的微博视频,2019-11-23,微博
29,黑臭,福州国资,2019年10月30日上午，省委第一巡回指导组一行到梅峰河、流花溪等水系综合治理项目现场视察调研，市长尤猛军、福州水务公司党委书记陈宏景等人陪同调研。现场，陈宏景向指导组一行介绍了梅峰河、流花溪及福州城区黑臭水体治理情况。指导组对福州治水的行动与成效给予肯定，赞誉了水务公司治水的决心与付出。水务公司表示将继续在思想行动上冲刺，坚持初心不变，全力完成水系治理攻坚扫尾任务，让“水城”福州的宜居蓝图越发清晰，让福州山水共融绿色之城的名片越发清亮。,2019-11-12,微博
30,黑臭,福州发布,#福州政务信息#【市人大代表集中视察福州城市建设管理工作】从颇为杂乱的“后花园”，升级为显山露塔的新景区；从黑臭难闻的断头河，实现水清河畅的华丽转身；从轨道交通零的突破，到双线运营、多线齐发……近日，14位省、市人大代表前往福州城市公园、居民小区、地铁工地、城区内河等地，开展为期一天的集中视察。O市人大代表集中视察福州城市建设管理工作,2019-09-28,微博
31,黑臭,福建日报,【省委书记把座谈会放在了工厂开，社区、村部、工地都是听取民意的好地方】7月12日，省委书记于伟国花了近一天时间在福州鼓楼区、仓山区和高新区深入调研。于伟国分别到于山戚公祠了解历史文化遗存保护情况，到龙津河察看群众十分关注的黑臭水体治理效果，来到福州高新区的福耀模具科技有限公司时，他还在工厂里与几位企业家代表座谈交流，倾听企业家们对当前经济形势的研判和应对举措。O网页链接,2019-07-14,微博
32,黑臭,福州晚报,【福州“治水”交出漂亮成绩单】2016年9月，围绕“系统治理、标本兼治”的目标，我市启动城区水系治理。经过1000多个日日夜夜奋力攻坚，43条内河成功摘去“黑帽”，福州成为全国20个黑臭水体治理示范城市之一。日渐清澈的内河给有福之州增添了活力与生机。现在，有福之州正以前所未有的姿态，展示生态之城的靓丽底色。来源：福州晚报O“治水”如何再创佳绩？　邀您出点子,2019-07-05,微博
33,黑臭,福州新闻网fznews,"#全力打造幸福之城#【""治水大战""打得如何，带您一起感受！还要请您来献策】#生态福建丝路扬帆#2016年9月，一场史无前例的治水攻坚大战启幕。治水是庞大的系统工程，不可能一蹴而就。依托先进理念和科学策略，福州确定了治水的目标：2018年底，全面消除建成区黑臭水体；2020年底，全面遏制外源污染入河，让水质稳定保持在地表V类水标准；远期，实现城市水环境长“制”久安。@福州发布您对福州治水有什么建议，快来说说吧：O城区水系治理",2019-07-05,微博
34,黑臭,福州国资,#福州城建#【告别黑臭　潘墩河沿线串珠公园绿化已完成八成】随着水系治理的推进，潘墩河沿线串珠公园也已基本建成并对外开放。潘墩河沿线串珠公园绿化面积为57251平方米，目前已完成45870平方米。目前潘墩河沿岸已铺就平整干净的步道，不少景石错落有致地散布在河道两侧。公园除了分布榕树、木棉、杜仲等高大乔木之外，还有扶桑、三角梅、蓝花草、美人蕉等观赏植物。此外，园内还留出了不少林下空间供市民休憩、闲玩。O告别黑臭　潘墩河沿线串珠公园绿化已完成八成,2019-06-27,微博
35,黑臭,福州发布,#福州城建#【告别黑臭　潘墩河沿线串珠公园绿化已完成八成】随着水系治理的推进，潘墩河沿线串珠公园也已基本建成并对外开放。潘墩河沿线串珠公园绿化面积为57251平方米，目前已完成45870平方米。目前潘墩河沿岸已铺就平整干净的步道，不少景石错落有致地散布在河道两侧。公园除了分布榕树、木棉、杜仲等高大乔木之外，还有扶桑、三角梅、蓝花草、美人蕉等观赏植物。此外，园内还留出了不少林下空间供市民休憩、闲玩。O告别黑臭　潘墩河沿线串珠公园绿化已完成八成,2019-06-27,微博
36,黑臭,中新社福建,【福州曾经的垃圾河如今风景如画】4月21日，民众在流花溪游玩。位于福州市仓山区的流花溪，曾是一条“黑臭”“脏乱”的垃圾河，经过综合整治，如今已经变成一条风景如画的景观河。市民带小孩在流花溪沿岸的步道上行走，十分惬意。（张斌摄）,2019-04-21,微博
37,黑臭,福州发布,#福州花季##漫步福州#【福州：流花溪风景如画】位于福州市仓山区的流花溪曾是一条黑臭的垃圾河，经过综合整治，流花溪告别了“脏乱差”旧貌，变成了一条水清、河畅、岸绿的景观河。O福州：流花溪风景如画,2019-04-12,微博
38,黑臭,福州胡州人,#福州爆料#【福州：流花溪风景如画】位于福州市仓山区的流花溪曾是一条黑臭的垃圾河，经过综合整治，流花溪告别了“脏乱差”旧貌，变成了一条水清、河畅、岸绿的景观河。（新华网）#福州胡州人#,2019-04-12,微博
39,黑臭,福州新闻网fznews,#全力打造幸福之城#【福州：流花溪风景如画】位于福州市仓山区的流花溪曾是一条黑臭的垃圾河，经过综合整治，流花溪告别了“脏乱差”旧貌，变成了一条水清、河畅、岸绿的景观河。@福州发布@福州建设发展@福州市文化和旅游局@福州园林在线@新华网http://t.cn/E6uuPo0,2019-04-11,微博
40,黑臭,仓山新闻网,#大美仓山#【流花溪告别脏乱差变身景观河】位于福州市仓山区的流花溪曾是一条黑臭的垃圾河，经过综合整治，流花溪告别了“脏乱差”旧貌，变成了一条水清、河畅、岸绿的景观河。来源：新华网,2019-04-11,微博
41,黑臭,福州生态环境,【赞！福州这里终于摘了20多年的“黑臭帽”，人水和谐，百姓叫好！】福清龙溪河近年通过综合治理戴了20多年的“黑臭帽”终于摘了！人水和谐的水生态环境让周边百姓一片叫好！O赞！福州这里终于摘了20多年的“黑臭帽”，人水和谐，百姓叫好！,2019-04-10,微博
42,黑臭,福建新闻广播fm1036,#2019全国两会##逐梦向春天#【八闽生态环境协奏曲——问河哪得清如许？有福之州告诉你】内河，曾经是福州的“心病”。为此，福州市2016年启动新一轮城区水系综合治理，将内涝治理、黑臭水体治理、污染源治理、水系周边环境治理、水系智慧管理和海绵城市建设6件事一起考虑，同步实施。如今，福州内河正华丽转身，逐渐成为城市一道亮丽的风景线。飞花逐流水，绿树映碧波，清水绕榕城，这样的美景，源自治水劳动者的不懈奋斗……#两会##全国两会#@福建环境L福建环境的秒拍视频,2019-03-15,微博
43,黑臭,福建广播电视新闻中心,#全国两会2019##高素质高颜值福建#【八闽生态环境协奏曲——问河哪得清如许？有福之州告诉你】内河，曾经是福州的“心病”。为此，福州市2016年启动新一轮城区水系综合治理，将内涝治理、黑臭水体治理、污染源治理、水系周边环境治理、水系智慧管理和海绵城市建设6件事一起考虑，同步实施。如今，福州内河正华丽转身，逐渐成为城市一道亮丽的风景线。飞花逐流水，绿树映碧波，清水绕榕城，这样的美景，源自治水劳动者的不懈奋斗……#两会##全国两会#@福建环境L福建环境的秒拍视频,2019-03-15,微博
44,黑臭,福建生态环境,#高素质高颜值福建#【八闽生态环境协奏曲——问河哪得清如许？有福之州告诉你】内河，曾经是福州的“心病”。为此，福州市2016年启动新一轮城区水系综合治理，将内涝治理、黑臭水体治理、污染源治理、水系周边环境治理、水系智慧管理和海绵城市建设6件事一起考虑，同步实施。如今，福州内河正华丽转身，逐渐成为城市一道亮丽的风景线。飞花逐流水，绿树映碧波，清水绕榕城，这样的美景，源自治水劳动者的不懈奋斗……#两会政在说#@生态环境部L福建环境的秒拍视频,2019-03-14,微博
45,黑臭,福州头条,#福州身边事#【国社点赞福州！看视频，幸福感扑面而来……】@新华网：福州有107条内河，总长约244公里，水网密度之大，在全国同类城市中都属少见。河系的发达本是福州的城市名片，但因城市化发展积累的生态欠账，内河在较长一段时间以来，都是“黑臭水体”。福州市于2016年启动新一轮城区水系综合治理，特别是2018年夏天以来，福州市采用立体交叉、通盘考虑的治理方式，调动多单位部门集体参战，内河治理取得良好成效。http://t.cn/EM9cnWn#高素质高颜值福建#,2019-03-12,微博
46,黑臭,福州身边事儿,#福州身边事#【国社点赞福州！看视频，幸福感扑面而来……】@新华网：福州有107条内河，总长约244公里，水网密度之大，在全国同类城市中都属少见。河系的发达本是福州的城市名片，但因城市化发展积累的生态欠账，内河在较长一段时间以来，都是“黑臭水体”。福州市于2016年启动新一轮城区水系综合治理，特别是2018年夏天以来，福州市采用立体交叉、通盘考虑的治理方式，调动多单位部门集体参战，内河治理取得良好成效。#福州话题#边哥评：确确实实内河干净了不少！实实在在的家门口幸福啊！L福州身边事儿的微博视频,2019-03-12,微博
47,黑臭,福州广播电视台,生态环境部部长李干杰在今年两会上表示，打好污染防治攻坚战要坚守阵地、巩固成果，保持方向、决心和定力不动摇。在河系发达的福州，污染防治攻坚战取得了不俗战绩。福州有107条内河，总长约244公里，水网密度之大，在全国同类城市中都属少见。河系的发达本是福州的城市名片，但因城市化发展积累的生态欠账，内河在较长一段时间以来，都是“黑臭水体”。福州市于2016年启动新一轮城区水系综合治理，特别是2018年夏天。L福州广播电视台的微博视频,2019-03-12,微博
48,黑臭,福州建设发展,【生态环境部部长李干杰在全国两会上介绍福州治水成效】他说：在河系发达的福州，污染防治攻坚战取得了不俗战绩。福州有107条内河，总长约244公里，水网密度之大，在全国同类城市中都属少见。河系的发达本是福州的城市名片，但因城市化发展积累的生态欠账，内河在较长一段时间以来，都是“黑臭水体”。福州市于2016年启动新一轮城区水系综合治理，特别是2018年夏天以来，福州市采用立体交叉、通盘考虑的治理方式，调动多单位部门集体参战，内河治理取得良好成效。,2019-03-12,微博
49,黑臭,福州新闻网fznews,#全力打造幸福之城#【三山之水哪得清如许——坚决打好污染防治攻坚战】福州有107条内河，总长约244公里，水网密度之大，在全国同类城市中都属少见。河系发达本是福州的一张名片，但因城市化发展积累的生态欠账，内河在较长一段时间以来，都是“黑臭水体”。2016年，福州市启动新一轮城区水系综合治理，特别是2018年夏天以来，福州市采用立体交叉、通盘考虑的治理方式，调动多单位部门集体参战，内河治理取得良好成效。@福州发布@福州建设发展@福州头条@鼓楼发布@台江发布@台江新闻网@晋安发布@仓山发布@马尾发布@长乐发布@福清发布@闽侯发布@连江发布@永泰发布@福州园林在线@新华网http://t.cn/EMJveFCL福州新闻网fznews的微博视频,2019-03-11,微博
50,黑臭,福建台新闻频道,#热点聚焦#【福州：全面消除44处黑臭水体最终将实现长治久清】福州城区共有107条内河，总长约240多公里，河网密布度居国内城市前列。近年来，福州市重点进行内河整治，黑臭现象不断改善，管养机制也不断完善，那么，福州城区的内河是如何治理的呢？（林欣芸林传喻）L福建台新闻频道的微博视频,2019-03-10,微博
51,黑臭,福州新闻网fznews,#全力打造幸福之城#【福州水系治理工作总体满意率超90%】经过近两年的努力，福州围绕内涝、黑臭水体、水系周边环境、污染源和水系联排联调等方面，共实施了39个内涝治理项目、1302个黑臭水体治理项目、39个水系周边环境提升项目、1612个污染源治理项目和145个水系联排联调项目。@福州发布@福州建设发展@福州头条@鼓楼发布@台江发布@台江新闻网@晋安发布@仓山发布@马尾发布@长乐发布@福清发布@闽侯发布@连江发布@永泰发布@http://t.cn/Ef1XI32,2019-02-28,微博
52,黑臭,福州建设发展,《关于福建省2018预算执行情况及2019年预算的报告》提到：福州、漳州获评2018年城市黑臭水体治理示范城市，三年可获中央财政补助12亿元。另外还提到：个别市、县（区）债务负担较重，偿债压力较大。,2019-01-26,微博
53,黑臭,福州生态修复城市修补,#双修进行时#【福州44条内河告别黑臭】日前，海都记者从福州市生态环境局获悉，省生态环境厅驻福州市环境监测中心站受委托，对福州市44条黑臭水体水质开展监督性监测。目前已全面完成，44条内河的黑臭水体的四项指标均值均达标。2016年，福州启动开展新一轮黑臭水体治理工作，根据福州市委市政府要求，2018年五城区建成区黑臭水体全面消除，并且纳入正常管养。http://t.cn/Eqk8aAE,2019-01-17,微博
54,黑臭,福州新闻网fznews,【福建“两会”代表委员点赞福州水系综合治理工作】2018年，我市坚持全面彻底、系统治理、生态海绵三大理念，大力开展水系综合治理，城区黑臭水体基本消除，水系巡查队伍全面成立，300公里滨河绿道和168个串珠公园为市民提供了更多高质量的公共休闲空间。O省“两会”代表委员点赞福州水系综合治理工作,2019-01-16,微博
